country,countryLabel,lifeExpectancy,date
http://www.wikidata.org/entity/Q408,Австралия,78.93171,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,79.23415,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,79.63415,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,79.93659,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,80.23902,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,80.49024,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,80.84146,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.04146,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.29268,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.39512,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.5439,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.69512,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,81.89512,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,82.04634,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,82.14878,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,82.3,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,82.4,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,82.5,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,83,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,83,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,83,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,83.2,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q408,Австралия,83.1,2023-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,77.87561,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,78.12683,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,78.57561,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,78.67805,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,78.63171,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,79.18049,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,79.33171,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,79.88049,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.18049,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.43171,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.33171,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.58049,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.98293,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.93659,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81.13659,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81.49024,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81.19024,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,80.89024,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,82,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q40,Австрия,81,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,66.491,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,66.763,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,67.054,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,67.391,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,67.791,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,68.249,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,68.75,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,69.269,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,69.774,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,70.238,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,70.646,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,70.987,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,71.26,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,71.478,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,71.656,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,71.8,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,71.921,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,72.026,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,73,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,67,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,69,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q227,Азербайджан,73,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,73.588,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,73.955,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,74.286,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,74.575,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,74.82,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,75.028,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,75.217,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,75.418,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,75.656,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,75.943,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,76.281,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,76.652,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77.031,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77.389,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77.702,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77.963,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,78.174,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,78.345,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,79,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,76,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q222,Албания,77,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,69.822,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,70.292,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,70.778,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,71.276,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,71.78,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,72.281,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,72.767,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,73.225,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,73.648,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,74.032,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,74.374,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,74.676,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,74.944,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,75.187,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,75.418,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,75.641,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,75.86,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,76.078,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,75.74,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,76.07,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,76.47,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,74.45,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,76.38,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q262,Алжир,77.13,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,46.105,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,47.113,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,48.2,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,49.341,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,50.508,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,51.676,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,52.833,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,53.974,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,55.096,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,56.189,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,57.231,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,58.192,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,59.042,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,59.77,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,60.373,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,60.858,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,61.241,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q916,Ангола,61.547,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,73.327,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,73.541,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,73.752,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,73.957,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,74.158,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,74.354,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,74.544,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,74.727,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,74.905,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.078,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.247,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.412,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.574,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.733,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,75.892,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,76.05,2014-01-01T00:00:00Z
